comparison_id,trial_id,ae_concept,source_1,source_2,arm_id_1,arm_id_2,denominator_1,denominator_2,percentage_1,percentage_2,absolute_percentage_difference,analysis_tier,analysis_use,grade_basis,review_status,source_confirmation_status,number_patients_1,number_patients_2,count_rounding_concordance_class
FULLCOMP000052,TRIAL002,adverse_event_leading_to_discontinuation,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,8.0,8.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,8,8,exact_count_and_percentage_concordance
FULLCOMP000055,TRIAL002,adverse_event_leading_to_discontinuation,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,10.0,10.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,10,10,exact_count_and_percentage_concordance
FULLCOMP000056,TRIAL002,any_adverse_event,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,98.0,98.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,93,93,exact_count_and_percentage_concordance
FULLCOMP000059,TRIAL002,any_adverse_event,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,100.0,100.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,99,99,exact_count_and_percentage_concordance
FULLCOMP000060,TRIAL002,dose_interruption,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,54.0,54.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,51,51,exact_count_and_percentage_concordance
FULLCOMP000063,TRIAL002,dose_interruption,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,62.0,62.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,61,61,exact_count_and_percentage_concordance
FULLCOMP000064,TRIAL002,dose_reduction,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,29.0,29.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,28,28,exact_count_and_percentage_concordance
FULLCOMP000067,TRIAL002,dose_reduction,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,41.0,41.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,41,41,exact_count_and_percentage_concordance
FULLCOMP000073,TRIAL002,fatal_adverse_event,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,3.0,3.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,3,3,exact_count_and_percentage_concordance
FULLCOMP000081,TRIAL002,fatal_adverse_event,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,7.0,7.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,7,7,exact_count_and_percentage_concordance
FULLCOMP000111,TRIAL002,serious_adverse_event,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,40.0,40.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed,38,38,exact_count_and_percentage_concordance
