trial_id,short_trial_name,safety_concept,source_pair,five_state_status,generated_comparison_count,grade_A_or_B_count,confirmed_analysis_ready_count,grade_C_count
TRIAL001,DESTINY-Breast01,any_adverse_event,publication vs FDA review,comparable_and_concordant,2,0,1,2
TRIAL001,DESTINY-Breast01,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,any_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,grade_3_or_higher_adverse_event,publication vs FDA review,reported_but_non_comparable,2,0,0,2
TRIAL001,DESTINY-Breast01,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,serious_adverse_event,publication vs FDA review,comparable_but_discordant,2,0,1,2
TRIAL001,DESTINY-Breast01,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,10,0,0,10
TRIAL001,DESTINY-Breast01,serious_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,5,0,0,5
TRIAL001,DESTINY-Breast01,fatal_adverse_event,publication vs FDA review,reported_but_non_comparable,4,0,0,4
TRIAL001,DESTINY-Breast01,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,10,0,0,10
TRIAL001,DESTINY-Breast01,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,10,0,0,10
TRIAL001,DESTINY-Breast01,adverse_event_leading_to_discontinuation,publication vs FDA review,reported_but_non_comparable,2,0,0,2
TRIAL001,DESTINY-Breast01,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,dose_interruption,publication vs FDA review,comparable_and_concordant,2,0,1,2
TRIAL001,DESTINY-Breast01,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,dose_interruption,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,dose_reduction,publication vs FDA review,reported_but_non_comparable,2,0,0,2
TRIAL001,DESTINY-Breast01,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL001,DESTINY-Breast01,dose_reduction,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,any_adverse_event,publication vs FDA review,comparable_and_concordant,4,2,2,2
TRIAL002,DREAMM-2,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,any_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,grade_3_or_higher_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,serious_adverse_event,publication vs FDA review,comparable_and_concordant,4,2,2,2
TRIAL002,DREAMM-2,serious_adverse_event,publication vs ClinicalTrials.gov,comparable_but_discordant,10,0,2,10
TRIAL002,DREAMM-2,serious_adverse_event,FDA review vs ClinicalTrials.gov,comparable_but_discordant,10,0,2,10
TRIAL002,DREAMM-2,fatal_adverse_event,publication vs FDA review,comparable_and_concordant,8,2,2,6
TRIAL002,DREAMM-2,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,20,0,0,20
TRIAL002,DREAMM-2,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,10,0,0,10
TRIAL002,DREAMM-2,adverse_event_leading_to_discontinuation,publication vs FDA review,comparable_and_concordant,4,2,2,2
TRIAL002,DREAMM-2,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,dose_interruption,publication vs FDA review,comparable_and_concordant,4,2,2,2
TRIAL002,DREAMM-2,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,dose_interruption,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,dose_reduction,publication vs FDA review,comparable_and_concordant,4,2,2,2
TRIAL002,DREAMM-2,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL002,DREAMM-2,dose_reduction,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,any_adverse_event,publication vs FDA review,comparable_and_concordant,4,2,2,2
TRIAL003,EV-201,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,any_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,grade_3_or_higher_adverse_event,publication vs FDA review,comparable_and_concordant,4,2,2,2
TRIAL003,EV-201,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,serious_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,serious_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,serious_adverse_event,FDA review vs ClinicalTrials.gov,comparable_and_concordant,4,0,1,4
TRIAL003,EV-201,fatal_adverse_event,publication vs FDA review,comparable_and_concordant,2,1,1,1
TRIAL003,EV-201,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,2,0,0,2
TRIAL003,EV-201,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,4,0,0,4
TRIAL003,EV-201,adverse_event_leading_to_discontinuation,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,dose_interruption,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,dose_interruption,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,dose_reduction,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL003,EV-201,dose_reduction,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,any_adverse_event,publication vs FDA review,reported_but_non_comparable,1,0,0,1
TRIAL004,IMMU-132-01,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,any_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,grade_3_or_higher_adverse_event,publication vs FDA review,reported_but_non_comparable,2,0,0,2
TRIAL004,IMMU-132-01,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,serious_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,serious_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,serious_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,2,0,0,2
TRIAL004,IMMU-132-01,fatal_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,1,0,0,1
TRIAL004,IMMU-132-01,fatal_adverse_event,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,adverse_event_leading_to_discontinuation,publication vs FDA review,comparable_and_concordant,1,1,1,0
TRIAL004,IMMU-132-01,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,dose_interruption,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,dose_interruption,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,dose_reduction,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL004,IMMU-132-01,dose_reduction,FDA review vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL005,ASCENT,any_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL005,ASCENT,any_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL005,ASCENT,any_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL005,ASCENT,grade_3_or_higher_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL005,ASCENT,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL005,ASCENT,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL005,ASCENT,serious_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL005,ASCENT,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,2,0,0,2
TRIAL005,ASCENT,serious_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL005,ASCENT,fatal_adverse_event,publication vs FDA review,unavailable,0,0,0,0
TRIAL005,ASCENT,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,4,0,0,4
TRIAL005,ASCENT,fatal_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL005,ASCENT,adverse_event_leading_to_discontinuation,publication vs FDA review,unavailable,0,0,0,0
TRIAL005,ASCENT,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL005,ASCENT,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL005,ASCENT,dose_interruption,publication vs FDA review,unavailable,0,0,0,0
TRIAL005,ASCENT,dose_interruption,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL005,ASCENT,dose_interruption,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL005,ASCENT,dose_reduction,publication vs FDA review,unavailable,0,0,0,0
TRIAL005,ASCENT,dose_reduction,publication vs ClinicalTrials.gov,not_reported_in_both_sources,0,0,0,0
TRIAL005,ASCENT,dose_reduction,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,any_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL006,ALFA-0701,any_adverse_event,publication vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,any_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,grade_3_or_higher_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL006,ALFA-0701,grade_3_or_higher_adverse_event,publication vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,grade_3_or_higher_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,serious_adverse_event,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL006,ALFA-0701,serious_adverse_event,publication vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,serious_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,fatal_adverse_event,publication vs FDA review,reported_but_non_comparable,2,0,0,2
TRIAL006,ALFA-0701,fatal_adverse_event,publication vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,fatal_adverse_event,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,adverse_event_leading_to_discontinuation,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL006,ALFA-0701,adverse_event_leading_to_discontinuation,publication vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,adverse_event_leading_to_discontinuation,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,dose_interruption,publication vs FDA review,not_reported_in_both_sources,0,0,0,0
TRIAL006,ALFA-0701,dose_interruption,publication vs ClinicalTrials.gov,unavailable,0,0,0,0
TRIAL006,ALFA-0701,dose_interruption,FDA review vs ClinicalTrials.gov,unavailable,0,0,0,0
