comparison_count,mean_abs_diff_pp,median_abs_diff_pp,max_abs_diff_pp,within_1pp_count,within_2pp_count,analysis_set,excluded_trial_id,remaining_trial_count
9,0.49,0.40,1.80,8,9,primary_candidate,TRIAL002,3
15,0.19,0.00,1.80,14,15,primary_candidate,TRIAL003,3
20,0.18,0.00,1.00,20,20,primary_candidate,TRIAL004,3
19,0.28,0.00,1.80,18,19,primary_candidate,TRIAL014,3
4,5.64,5.39,6.53,0,0,sensitivity_candidate,TRIAL001,1
3,1.60,2.00,2.70,1,2,sensitivity_candidate,TRIAL002,1
25,1.12,0.00,6.53,20,21,all_confirmed,TRIAL001,4
12,0.77,0.40,2.70,9,11,all_confirmed,TRIAL002,4
22,1.37,0.00,6.53,15,17,all_confirmed,TRIAL003,4
27,1.15,0.03,6.53,21,22,all_confirmed,TRIAL004,4
26,1.26,0.15,6.53,19,21,all_confirmed,TRIAL014,4
